lesson_text,keywords,lesson_type,difficulty_level,target
Writing task focusing on writing skills.,"['essays', 'punctuation']",Writing,Intermediate,1
Interactive vocabulary activity with exercises.,"['phrases', 'synonyms']",Vocabulary,Intermediate,0
Lesson on writing covering essential rules.,"['essays', 'creative writing']",Writing,Advanced,0
Interactive writing activity with exercises.,"['punctuation', 'creative writing']",Writing,Advanced,1
Writing task focusing on vocabulary skills.,"['synonyms', 'words']",Vocabulary,Intermediate,0
Interactive vocabulary activity with exercises.,"['phrases', 'synonyms']",Vocabulary,Beginner,1
Writing task focusing on vocabulary skills.,"['words', 'phrases']",Vocabulary,Advanced,1
Writing task focusing on speaking skills.,"['dialogues', 'conversation']",Speaking,Advanced,1
AI-generated vocabulary summary with key takeaways.,"['phrases', 'words']",Vocabulary,Advanced,0
Interactive vocabulary activity with exercises.,"['synonyms', 'words']",Vocabulary,Advanced,1
AI-generated reading summary with key takeaways.,"['analysis', 'passage']",Reading,Beginner,0
Lesson on reading covering essential rules.,"['passage', 'analysis']",Reading,Beginner,0
Lesson on grammar covering essential rules.,"['sentence structure', 'tenses']",Grammar,Intermediate,1
AI-generated literature summary with key takeaways.,"['Shakespeare', 'poetry']",Literature,Beginner,1
Comprehension exercise based on writing.,"['creative writing', 'punctuation']",Writing,Beginner,1
Lesson on speaking covering essential rules.,"['dialogues', 'pronunciation']",Speaking,Advanced,0
Writing task focusing on literature skills.,"['novels', 'poetry']",Literature,Advanced,1
Lesson on vocabulary covering essential rules.,"['words', 'phrases']",Vocabulary,Intermediate,0
Writing task focusing on vocabulary skills.,"['phrases', 'words']",Vocabulary,Beginner,1
AI-generated reading summary with key takeaways.,"['passage', 'analysis']",Reading,Beginner,0
Interactive grammar activity with exercises.,"['verbs', 'tenses']",Grammar,Advanced,1
AI-generated literature summary with key takeaways.,"['poetry', 'novels']",Literature,Intermediate,1
Lesson on literature covering essential rules.,"['poetry', 'novels']",Literature,Advanced,0
Comprehension exercise based on literature.,"['novels', 'Shakespeare']",Literature,Intermediate,1
Writing task focusing on reading skills.,"['comprehension', 'passage']",Reading,Advanced,0
Comprehension exercise based on grammar.,"['verbs', 'sentence structure']",Grammar,Intermediate,1
Lesson on reading covering essential rules.,"['analysis', 'passage']",Reading,Beginner,1
Comprehension exercise based on speaking.,"['conversation', 'dialogues']",Speaking,Intermediate,0
AI-generated speaking summary with key takeaways.,"['pronunciation', 'conversation']",Speaking,Intermediate,1
Lesson on vocabulary covering essential rules.,"['phrases', 'synonyms']",Vocabulary,Intermediate,1
Lesson on speaking covering essential rules.,"['dialogues', 'pronunciation']",Speaking,Advanced,1
Writing task focusing on reading skills.,"['comprehension', 'analysis']",Reading,Advanced,0
Interactive grammar activity with exercises.,"['sentence structure', 'tenses']",Grammar,Intermediate,1
Speaking practice involving reading scenarios.,"['passage', 'comprehension']",Reading,Advanced,1
Interactive speaking activity with exercises.,"['conversation', 'pronunciation']",Speaking,Intermediate,1
Interactive vocabulary activity with exercises.,"['synonyms', 'words']",Vocabulary,Intermediate,1
Writing task focusing on vocabulary skills.,"['words', 'phrases']",Vocabulary,Advanced,1
AI-generated speaking summary with key takeaways.,"['dialogues', 'pronunciation']",Speaking,Intermediate,1
Writing task focusing on reading skills.,"['passage', 'comprehension']",Reading,Beginner,0
AI-generated literature summary with key takeaways.,"['poetry', 'Shakespeare']",Literature,Advanced,1
AI-generated literature summary with key takeaways.,"['novels', 'poetry']",Literature,Beginner,0
Lesson on literature covering essential rules.,"['novels', 'poetry']",Literature,Beginner,0
Comprehension exercise based on writing.,"['essays', 'creative writing']",Writing,Advanced,0
Comprehension exercise based on grammar.,"['tenses', 'sentence structure']",Grammar,Intermediate,1
Writing task focusing on reading skills.,"['analysis', 'passage']",Reading,Intermediate,0
Interactive literature activity with exercises.,"['poetry', 'novels']",Literature,Beginner,0
Speaking practice involving writing scenarios.,"['creative writing', 'essays']",Writing,Advanced,1
Speaking practice involving reading scenarios.,"['comprehension', 'passage']",Reading,Intermediate,1
Comprehension exercise based on reading.,"['passage', 'analysis']",Reading,Intermediate,1
Speaking practice involving reading scenarios.,"['passage', 'analysis']",Reading,Beginner,1
Comprehension exercise based on writing.,"['essays', 'punctuation']",Writing,Intermediate,1
Writing task focusing on literature skills.,"['novels', 'Shakespeare']",Literature,Advanced,1
Speaking practice involving reading scenarios.,"['comprehension', 'passage']",Reading,Intermediate,1
Interactive vocabulary activity with exercises.,"['words', 'phrases']",Vocabulary,Advanced,1
Interactive literature activity with exercises.,"['Shakespeare', 'poetry']",Literature,Beginner,1
Speaking practice involving speaking scenarios.,"['pronunciation', 'dialogues']",Speaking,Intermediate,0
Interactive vocabulary activity with exercises.,"['phrases', 'synonyms']",Vocabulary,Advanced,1
Writing task focusing on speaking skills.,"['pronunciation', 'conversation']",Speaking,Advanced,1
Interactive grammar activity with exercises.,"['tenses', 'sentence structure']",Grammar,Intermediate,1
AI-generated grammar summary with key takeaways.,"['tenses', 'sentence structure']",Grammar,Intermediate,1
Comprehension exercise based on writing.,"['essays', 'punctuation']",Writing,Beginner,0
AI-generated speaking summary with key takeaways.,"['dialogues', 'pronunciation']",Speaking,Beginner,1
Lesson on writing covering essential rules.,"['essays', 'creative writing']",Writing,Intermediate,1
Speaking practice involving reading scenarios.,"['analysis', 'passage']",Reading,Beginner,1
Writing task focusing on vocabulary skills.,"['words', 'synonyms']",Vocabulary,Beginner,1
Lesson on writing covering essential rules.,"['punctuation', 'creative writing']",Writing,Beginner,1
Speaking practice involving grammar scenarios.,"['tenses', 'verbs']",Grammar,Advanced,1
Comprehension exercise based on grammar.,"['verbs', 'tenses']",Grammar,Intermediate,0
AI-generated vocabulary summary with key takeaways.,"['words', 'synonyms']",Vocabulary,Beginner,0
Comprehension exercise based on reading.,"['comprehension', 'passage']",Reading,Advanced,1
Interactive literature activity with exercises.,"['poetry', 'Shakespeare']",Literature,Beginner,1
Writing task focusing on vocabulary skills.,"['synonyms', 'phrases']",Vocabulary,Intermediate,1
Writing task focusing on reading skills.,"['analysis', 'passage']",Reading,Intermediate,0
Speaking practice involving vocabulary scenarios.,"['synonyms', 'phrases']",Vocabulary,Intermediate,1
Comprehension exercise based on writing.,"['creative writing', 'punctuation']",Writing,Intermediate,0
AI-generated writing summary with key takeaways.,"['punctuation', 'creative writing']",Writing,Advanced,0
Comprehension exercise based on reading.,"['analysis', 'passage']",Reading,Advanced,1
Writing task focusing on reading skills.,"['passage', 'analysis']",Reading,Intermediate,1
Lesson on literature covering essential rules.,"['novels', 'Shakespeare']",Literature,Beginner,0
Interactive vocabulary activity with exercises.,"['phrases', 'words']",Vocabulary,Intermediate,1
Writing task focusing on speaking skills.,"['pronunciation', 'conversation']",Speaking,Intermediate,0
Lesson on reading covering essential rules.,"['comprehension', 'passage']",Reading,Beginner,0
Comprehension exercise based on vocabulary.,"['phrases', 'words']",Vocabulary,Advanced,1
AI-generated speaking summary with key takeaways.,"['pronunciation', 'dialogues']",Speaking,Intermediate,1
Comprehension exercise based on vocabulary.,"['words', 'synonyms']",Vocabulary,Beginner,1
Interactive literature activity with exercises.,"['poetry', 'Shakespeare']",Literature,Beginner,1
Writing task focusing on writing skills.,"['essays', 'creative writing']",Writing,Beginner,0
AI-generated grammar summary with key takeaways.,"['sentence structure', 'tenses']",Grammar,Beginner,1
Interactive speaking activity with exercises.,"['dialogues', 'conversation']",Speaking,Advanced,0
Interactive grammar activity with exercises.,"['tenses', 'verbs']",Grammar,Beginner,1
Interactive reading activity with exercises.,"['comprehension', 'passage']",Reading,Advanced,1
Comprehension exercise based on grammar.,"['verbs', 'sentence structure']",Grammar,Intermediate,1
Speaking practice involving vocabulary scenarios.,"['words', 'phrases']",Vocabulary,Beginner,0
Comprehension exercise based on writing.,"['creative writing', 'essays']",Writing,Intermediate,1
Speaking practice involving writing scenarios.,"['punctuation', 'essays']",Writing,Beginner,0
AI-generated literature summary with key takeaways.,"['Shakespeare', 'novels']",Literature,Intermediate,1
AI-generated writing summary with key takeaways.,"['punctuation', 'essays']",Writing,Beginner,0
Writing task focusing on vocabulary skills.,"['synonyms', 'words']",Vocabulary,Advanced,1
Writing task focusing on speaking skills.,"['conversation', 'pronunciation']",Speaking,Beginner,0
Speaking practice involving reading scenarios.,"['analysis', 'passage']",Reading,Beginner,1
Comprehension exercise based on writing.,"['essays', 'creative writing']",Writing,Advanced,0
Comprehension exercise based on speaking.,"['pronunciation', 'dialogues']",Speaking,Advanced,0
Speaking practice involving grammar scenarios.,"['sentence structure', 'tenses']",Grammar,Beginner,1
Lesson on writing covering essential rules.,"['punctuation', 'creative writing']",Writing,Advanced,0
Speaking practice involving grammar scenarios.,"['verbs', 'sentence structure']",Grammar,Beginner,0
Interactive grammar activity with exercises.,"['verbs', 'sentence structure']",Grammar,Advanced,1
Comprehension exercise based on literature.,"['novels', 'Shakespeare']",Literature,Advanced,1
Interactive grammar activity with exercises.,"['tenses', 'sentence structure']",Grammar,Beginner,1
Speaking practice involving reading scenarios.,"['passage', 'analysis']",Reading,Advanced,0
Writing task focusing on grammar skills.,"['verbs', 'tenses']",Grammar,Intermediate,1
Writing task focusing on speaking skills.,"['pronunciation', 'conversation']",Speaking,Intermediate,1
Speaking practice involving grammar scenarios.,"['sentence structure', 'verbs']",Grammar,Intermediate,1
AI-generated writing summary with key takeaways.,"['punctuation', 'essays']",Writing,Intermediate,0
Comprehension exercise based on reading.,"['passage', 'analysis']",Reading,Beginner,1
Lesson on grammar covering essential rules.,"['tenses', 'sentence structure']",Grammar,Advanced,0
AI-generated vocabulary summary with key takeaways.,"['phrases', 'synonyms']",Vocabulary,Beginner,0
Speaking practice involving reading scenarios.,"['analysis', 'passage']",Reading,Beginner,0
Interactive literature activity with exercises.,"['novels', 'poetry']",Literature,Intermediate,0
Speaking practice involving speaking scenarios.,"['conversation', 'pronunciation']",Speaking,Intermediate,1
AI-generated speaking summary with key takeaways.,"['pronunciation', 'dialogues']",Speaking,Beginner,0
Interactive literature activity with exercises.,"['Shakespeare', 'poetry']",Literature,Beginner,0
Interactive literature activity with exercises.,"['novels', 'Shakespeare']",Literature,Advanced,0
AI-generated writing summary with key takeaways.,"['essays', 'creative writing']",Writing,Intermediate,0
AI-generated literature summary with key takeaways.,"['Shakespeare', 'novels']",Literature,Beginner,1
Speaking practice involving vocabulary scenarios.,"['phrases', 'words']",Vocabulary,Beginner,0
Speaking practice involving speaking scenarios.,"['pronunciation', 'conversation']",Speaking,Advanced,1
AI-generated vocabulary summary with key takeaways.,"['phrases', 'synonyms']",Vocabulary,Advanced,0
Writing task focusing on speaking skills.,"['dialogues', 'pronunciation']",Speaking,Advanced,0
AI-generated reading summary with key takeaways.,"['analysis', 'passage']",Reading,Intermediate,1
Lesson on vocabulary covering essential rules.,"['phrases', 'words']",Vocabulary,Beginner,1
Lesson on reading covering essential rules.,"['analysis', 'passage']",Reading,Beginner,0
AI-generated vocabulary summary with key takeaways.,"['phrases', 'words']",Vocabulary,Intermediate,1
Interactive vocabulary activity with exercises.,"['synonyms', 'phrases']",Vocabulary,Beginner,0
Lesson on vocabulary covering essential rules.,"['synonyms', 'phrases']",Vocabulary,Advanced,0
Lesson on grammar covering essential rules.,"['tenses', 'sentence structure']",Grammar,Advanced,0
Lesson on speaking covering essential rules.,"['pronunciation', 'conversation']",Speaking,Advanced,0
Speaking practice involving vocabulary scenarios.,"['synonyms', 'words']",Vocabulary,Beginner,1
Lesson on speaking covering essential rules.,"['pronunciation', 'dialogues']",Speaking,Advanced,1
Lesson on grammar covering essential rules.,"['sentence structure', 'verbs']",Grammar,Advanced,1
Interactive grammar activity with exercises.,"['tenses', 'verbs']",Grammar,Intermediate,0
Comprehension exercise based on literature.,"['novels', 'Shakespeare']",Literature,Beginner,0
Interactive vocabulary activity with exercises.,"['synonyms', 'phrases']",Vocabulary,Intermediate,0
Lesson on reading covering essential rules.,"['comprehension', 'analysis']",Reading,Intermediate,1
Speaking practice involving writing scenarios.,"['essays', 'punctuation']",Writing,Beginner,1
Interactive grammar activity with exercises.,"['tenses', 'sentence structure']",Grammar,Advanced,0
Comprehension exercise based on writing.,"['creative writing', 'punctuation']",Writing,Beginner,0
Comprehension exercise based on reading.,"['analysis', 'comprehension']",Reading,Beginner,0
Lesson on literature covering essential rules.,"['poetry', 'Shakespeare']",Literature,Beginner,0
Interactive speaking activity with exercises.,"['pronunciation', 'dialogues']",Speaking,Intermediate,1
AI-generated reading summary with key takeaways.,"['analysis', 'comprehension']",Reading,Intermediate,0
Comprehension exercise based on reading.,"['passage', 'analysis']",Reading,Advanced,0
Comprehension exercise based on vocabulary.,"['phrases', 'synonyms']",Vocabulary,Beginner,1
Speaking practice involving reading scenarios.,"['passage', 'comprehension']",Reading,Advanced,1
Speaking practice involving literature scenarios.,"['poetry', 'Shakespeare']",Literature,Advanced,1
Speaking practice involving literature scenarios.,"['novels', 'poetry']",Literature,Beginner,0
Speaking practice involving vocabulary scenarios.,"['words', 'phrases']",Vocabulary,Intermediate,1
Comprehension exercise based on literature.,"['Shakespeare', 'poetry']",Literature,Advanced,1
Speaking practice involving writing scenarios.,"['punctuation', 'essays']",Writing,Advanced,1
Writing task focusing on reading skills.,"['comprehension', 'analysis']",Reading,Beginner,0
Lesson on vocabulary covering essential rules.,"['words', 'phrases']",Vocabulary,Intermediate,1
Lesson on writing covering essential rules.,"['punctuation', 'creative writing']",Writing,Intermediate,1
Comprehension exercise based on speaking.,"['dialogues', 'conversation']",Speaking,Advanced,0
AI-generated literature summary with key takeaways.,"['novels', 'Shakespeare']",Literature,Intermediate,1
Speaking practice involving literature scenarios.,"['novels', 'Shakespeare']",Literature,Advanced,1
Comprehension exercise based on grammar.,"['sentence structure', 'verbs']",Grammar,Advanced,1
Lesson on vocabulary covering essential rules.,"['phrases', 'words']",Vocabulary,Intermediate,0
Comprehension exercise based on literature.,"['poetry', 'novels']",Literature,Beginner,0
AI-generated grammar summary with key takeaways.,"['tenses', 'sentence structure']",Grammar,Beginner,0
Comprehension exercise based on reading.,"['analysis', 'comprehension']",Reading,Beginner,1
Comprehension exercise based on reading.,"['comprehension', 'analysis']",Reading,Beginner,1
Interactive writing activity with exercises.,"['punctuation', 'essays']",Writing,Intermediate,0
AI-generated grammar summary with key takeaways.,"['sentence structure', 'verbs']",Grammar,Advanced,0
Comprehension exercise based on speaking.,"['dialogues', 'conversation']",Speaking,Advanced,0
Interactive literature activity with exercises.,"['poetry', 'Shakespeare']",Literature,Intermediate,1
Speaking practice involving reading scenarios.,"['comprehension', 'passage']",Reading,Intermediate,0
AI-generated writing summary with key takeaways.,"['creative writing', 'punctuation']",Writing,Intermediate,0
AI-generated literature summary with key takeaways.,"['poetry', 'Shakespeare']",Literature,Advanced,0
Comprehension exercise based on speaking.,"['conversation', 'pronunciation']",Speaking,Intermediate,0
Writing task focusing on literature skills.,"['poetry', 'novels']",Literature,Beginner,0
AI-generated speaking summary with key takeaways.,"['dialogues', 'conversation']",Speaking,Intermediate,0
Lesson on reading covering essential rules.,"['analysis', 'comprehension']",Reading,Advanced,0
Interactive speaking activity with exercises.,"['conversation', 'dialogues']",Speaking,Beginner,1
Writing task focusing on grammar skills.,"['sentence structure', 'tenses']",Grammar,Intermediate,1
Speaking practice involving literature scenarios.,"['Shakespeare', 'poetry']",Literature,Beginner,1
Lesson on writing covering essential rules.,"['essays', 'punctuation']",Writing,Advanced,0
AI-generated writing summary with key takeaways.,"['creative writing', 'punctuation']",Writing,Intermediate,0
Speaking practice involving reading scenarios.,"['passage', 'analysis']",Reading,Advanced,1
Comprehension exercise based on speaking.,"['pronunciation', 'conversation']",Speaking,Beginner,1
Interactive literature activity with exercises.,"['Shakespeare', 'poetry']",Literature,Intermediate,1
Interactive writing activity with exercises.,"['essays', 'punctuation']",Writing,Beginner,1
AI-generated vocabulary summary with key takeaways.,"['words', 'synonyms']",Vocabulary,Intermediate,0
Speaking practice involving writing scenarios.,"['punctuation', 'creative writing']",Writing,Advanced,1
AI-generated vocabulary summary with key takeaways.,"['phrases', 'words']",Vocabulary,Intermediate,1
Comprehension exercise based on writing.,"['punctuation', 'creative writing']",Writing,Advanced,1
Comprehension exercise based on literature.,"['Shakespeare', 'novels']",Literature,Beginner,1
Writing task focusing on grammar skills.,"['verbs', 'sentence structure']",Grammar,Advanced,0
Speaking practice involving literature scenarios.,"['novels', 'poetry']",Literature,Advanced,1
Lesson on vocabulary covering essential rules.,"['synonyms', 'phrases']",Vocabulary,Intermediate,0
Interactive grammar activity with exercises.,"['tenses', 'sentence structure']",Grammar,Beginner,1
AI-generated grammar summary with key takeaways.,"['sentence structure', 'verbs']",Grammar,Beginner,0
Comprehension exercise based on speaking.,"['pronunciation', 'dialogues']",Speaking,Advanced,0
Writing task focusing on speaking skills.,"['pronunciation', 'conversation']",Speaking,Beginner,0
AI-generated literature summary with key takeaways.,"['Shakespeare', 'poetry']",Literature,Beginner,1
AI-generated grammar summary with key takeaways.,"['sentence structure', 'tenses']",Grammar,Advanced,0
Comprehension exercise based on writing.,"['essays', 'creative writing']",Writing,Beginner,1
Interactive speaking activity with exercises.,"['dialogues', 'conversation']",Speaking,Intermediate,1
Interactive vocabulary activity with exercises.,"['phrases', 'synonyms']",Vocabulary,Intermediate,1
AI-generated writing summary with key takeaways.,"['punctuation', 'essays']",Writing,Advanced,0
Comprehension exercise based on reading.,"['analysis', 'passage']",Reading,Beginner,0
Interactive literature activity with exercises.,"['Shakespeare', 'novels']",Literature,Beginner,1
AI-generated writing summary with key takeaways.,"['essays', 'punctuation']",Writing,Intermediate,1
Comprehension exercise based on literature.,"['poetry', 'novels']",Literature,Beginner,0
Interactive literature activity with exercises.,"['novels', 'Shakespeare']",Literature,Intermediate,1
Speaking practice involving writing scenarios.,"['creative writing', 'punctuation']",Writing,Beginner,0
Comprehension exercise based on reading.,"['comprehension', 'analysis']",Reading,Advanced,1
Writing task focusing on reading skills.,"['passage', 'comprehension']",Reading,Advanced,0
Writing task focusing on grammar skills.,"['sentence structure', 'verbs']",Grammar,Beginner,1
Interactive reading activity with exercises.,"['passage', 'comprehension']",Reading,Intermediate,1
Comprehension exercise based on speaking.,"['pronunciation', 'conversation']",Speaking,Advanced,1
Writing task focusing on grammar skills.,"['sentence structure', 'verbs']",Grammar,Intermediate,0
Comprehension exercise based on vocabulary.,"['synonyms', 'words']",Vocabulary,Advanced,0
Speaking practice involving writing scenarios.,"['essays', 'punctuation']",Writing,Advanced,0
Speaking practice involving grammar scenarios.,"['tenses', 'sentence structure']",Grammar,Intermediate,1
Writing task focusing on vocabulary skills.,"['phrases', 'words']",Vocabulary,Intermediate,0
Lesson on vocabulary covering essential rules.,"['words', 'phrases']",Vocabulary,Beginner,0
Interactive speaking activity with exercises.,"['pronunciation', 'dialogues']",Speaking,Advanced,1
Comprehension exercise based on literature.,"['Shakespeare', 'poetry']",Literature,Intermediate,1
Speaking practice involving writing scenarios.,"['punctuation', 'creative writing']",Writing,Advanced,0
Interactive grammar activity with exercises.,"['verbs', 'sentence structure']",Grammar,Advanced,1
Writing task focusing on vocabulary skills.,"['words', 'synonyms']",Vocabulary,Beginner,1
Speaking practice involving vocabulary scenarios.,"['phrases', 'words']",Vocabulary,Advanced,0
Comprehension exercise based on literature.,"['poetry', 'novels']",Literature,Advanced,1
Writing task focusing on literature skills.,"['Shakespeare', 'novels']",Literature,Advanced,0
Lesson on grammar covering essential rules.,"['sentence structure', 'tenses']",Grammar,Advanced,1
Comprehension exercise based on reading.,"['analysis', 'comprehension']",Reading,Beginner,0
Lesson on literature covering essential rules.,"['poetry', 'Shakespeare']",Literature,Advanced,0
Speaking practice involving vocabulary scenarios.,"['words', 'phrases']",Vocabulary,Advanced,1
AI-generated vocabulary summary with key takeaways.,"['words', 'synonyms']",Vocabulary,Beginner,0
Comprehension exercise based on grammar.,"['sentence structure', 'verbs']",Grammar,Intermediate,0
Lesson on literature covering essential rules.,"['Shakespeare', 'novels']",Literature,Advanced,0
Interactive writing activity with exercises.,"['punctuation', 'creative writing']",Writing,Beginner,0
Lesson on literature covering essential rules.,"['poetry', 'Shakespeare']",Literature,Beginner,0
Speaking practice involving speaking scenarios.,"['dialogues', 'pronunciation']",Speaking,Advanced,1
Writing task focusing on speaking skills.,"['dialogues', 'conversation']",Speaking,Advanced,1
Writing task focusing on grammar skills.,"['verbs', 'tenses']",Grammar,Beginner,0
Interactive literature activity with exercises.,"['novels', 'poetry']",Literature,Advanced,0
Comprehension exercise based on grammar.,"['verbs', 'sentence structure']",Grammar,Beginner,0
Speaking practice involving literature scenarios.,"['poetry', 'Shakespeare']",Literature,Advanced,1
Writing task focusing on literature skills.,"['Shakespeare', 'poetry']",Literature,Advanced,1
Comprehension exercise based on reading.,"['comprehension', 'analysis']",Reading,Advanced,1
AI-generated writing summary with key takeaways.,"['creative writing', 'punctuation']",Writing,Advanced,1
Comprehension exercise based on speaking.,"['conversation', 'dialogues']",Speaking,Beginner,0
AI-generated speaking summary with key takeaways.,"['conversation', 'pronunciation']",Speaking,Beginner,0
Lesson on writing covering essential rules.,"['essays', 'punctuation']",Writing,Intermediate,1
Speaking practice involving literature scenarios.,"['Shakespeare', 'poetry']",Literature,Beginner,0
Lesson on literature covering essential rules.,"['Shakespeare', 'novels']",Literature,Intermediate,0
Lesson on reading covering essential rules.,"['comprehension', 'analysis']",Reading,Advanced,0
AI-generated speaking summary with key takeaways.,"['dialogues', 'pronunciation']",Speaking,Beginner,0
Writing task focusing on literature skills.,"['Shakespeare', 'novels']",Literature,Advanced,0
Comprehension exercise based on reading.,"['passage', 'comprehension']",Reading,Beginner,1
Writing task focusing on grammar skills.,"['sentence structure', 'verbs']",Grammar,Beginner,0
AI-generated literature summary with key takeaways.,"['novels', 'Shakespeare']",Literature,Advanced,0
Interactive literature activity with exercises.,"['poetry', 'novels']",Literature,Intermediate,0
Interactive vocabulary activity with exercises.,"['words', 'synonyms']",Vocabulary,Intermediate,1
Interactive grammar activity with exercises.,"['sentence structure', 'tenses']",Grammar,Advanced,0
Comprehension exercise based on vocabulary.,"['words', 'synonyms']",Vocabulary,Intermediate,0
Interactive grammar activity with exercises.,"['tenses', 'verbs']",Grammar,Advanced,1
AI-generated grammar summary with key takeaways.,"['verbs', 'sentence structure']",Grammar,Advanced,1
Comprehension exercise based on vocabulary.,"['words', 'synonyms']",Vocabulary,Intermediate,0
AI-generated writing summary with key takeaways.,"['essays', 'punctuation']",Writing,Advanced,0
AI-generated reading summary with key takeaways.,"['passage', 'comprehension']",Reading,Intermediate,0
AI-generated literature summary with key takeaways.,"['novels', 'poetry']",Literature,Beginner,0
Interactive grammar activity with exercises.,"['tenses', 'sentence structure']",Grammar,Beginner,1
AI-generated writing summary with key takeaways.,"['punctuation', 'creative writing']",Writing,Beginner,1
